DATE_FORMAT,Grant Total
2018-01-01,16
2018-01-02,25
2018-01-03,53
2018-01-04,27
2018-01-05,20
2018-01-06,26
2018-01-07,48
2018-01-08,42
2018-01-09,76
2018-01-10,48
2018-01-11,60
2018-01-12,20
2018-01-13,32
2018-01-14,36
2018-01-15,47
2018-01-16,36
2018-01-17,53
2018-01-18,10
2018-01-19,23
2018-01-20,33
2018-01-21,21
2018-01-22,22
2018-01-23,24
2018-01-24,32
2018-01-25,15
2018-01-26,16
2018-01-27,26
2018-01-28,20
2018-01-29,26
2018-01-30,31
2018-01-31,54
2018-02-01,48
2018-02-02,11
2018-02-03,24
2018-02-04,21
2018-02-05,29
2018-02-06,39
2018-02-07,46
2018-02-08,28
2018-02-09,22
2018-02-10,58
2018-02-11,29
2018-02-12,34
2018-02-13,32
2018-02-14,46
2018-02-15,53
2018-02-16,18
2018-02-17,26
2018-02-18,29
2018-02-19,20
2018-02-20,32
2018-02-21,43
2018-02-22,34
2018-02-23,18
2018-02-24,26
2018-02-25,35
2018-02-26,52
2018-02-27,34
2018-02-28,72
2018-03-01,43
2018-03-02,19
2018-03-03,32
2018-03-04,39
2018-03-05,51
2018-03-06,40
2018-03-07,80
2018-03-08,47
2018-03-09,22
2018-03-10,59
2018-03-11,57
2018-03-12,38
2018-03-13,42
2018-03-14,78
2018-03-15,43
2018-03-16,27
2018-03-17,50
2018-03-18,53
2018-03-19,38
2018-03-20,39
2018-03-21,81
2018-03-22,60
2018-03-23,24
2018-03-24,49
2018-03-25,51
2018-03-26,43
2018-03-27,61
2018-03-28,106
2018-03-29,62
2018-03-30,40
2018-03-31,73
2018-04-01,60
2018-04-02,57
2018-04-03,60
2018-04-04,112
2018-04-05,43
2018-04-06,38
2018-04-07,72
2018-04-08,56
2018-04-09,43
2018-04-10,43
2018-04-11,111
2018-04-12,57
2018-04-13,52
2018-04-14,77
2018-04-15,58
2018-04-16,39
2018-04-17,59
2018-04-18,113
2018-04-19,85
2018-04-20,72
2018-04-21,87
2018-04-22,58
2018-04-23,66
2018-04-24,69
2018-04-25,123
2018-04-26,74
2018-04-27,46
2018-04-28,101
2018-04-29,67
2018-04-30,68
2018-05-01,53
2018-05-02,123
2018-05-03,72
2018-05-04,65
2018-05-05,93
2018-05-06,72
2018-05-07,66
2018-05-08,68
2018-05-09,117
2018-05-10,83
2018-05-11,60
2018-05-12,86
2018-05-13,68
2018-05-14,82
2018-05-15,83
2018-05-16,120
2018-05-17,116
2018-05-18,59
2018-05-19,93
2018-05-20,76
2018-05-21,91
2018-05-22,74
2018-05-23,150
2018-05-24,90
2018-05-25,66
2018-05-26,86
2018-05-27,74
2018-05-28,55
2018-05-29,80
2018-05-30,135
2018-05-31,90
2018-06-01,65
2018-06-02,87
2018-06-03,87
2018-06-04,90
2018-06-05,103
2018-06-06,117
2018-06-07,88
2018-06-08,78
2018-06-09,107
2018-06-10,81
2018-06-11,73
2018-06-12,71
2018-06-13,127
2018-06-14,91
2018-06-15,68
2018-06-16,87
2018-06-17,78
2018-06-18,84
2018-06-19,73
2018-06-20,127
2018-06-21,113
2018-06-22,80
2018-06-23,102
2018-06-24,102
2018-06-25,67
2018-06-26,66
2018-06-27,131
2018-06-28,89
2018-06-29,65
2018-06-30,109
2018-07-01,81
2018-07-02,64
2018-07-03,82
2018-07-04,119
2018-07-05,101
2018-07-06,66
2018-07-07,96
2018-07-08,81
2018-07-09,84
2018-07-10,82
2018-07-11,131
2018-07-12,101
2018-07-13,70
2018-07-14,91
2018-07-15,79
2018-07-16,68
2018-07-17,71
2018-07-18,118
2018-07-19,103
2018-07-20,64
2018-07-21,97
2018-07-22,109
2018-07-23,84
2018-07-24,68
2018-07-25,127
2018-07-26,102
2018-07-27,60
2018-07-28,101
2018-07-29,86
2018-07-30,64
2018-07-31,69
2018-08-01,119
2018-08-02,81
2018-08-03,66
2018-08-04,92
2018-08-05,76
2018-08-06,80
2018-08-07,67
2018-08-08,109
2018-08-09,67
2018-08-10,61
2018-08-11,104
2018-08-12,74
2018-08-13,96
2018-08-14,62
2018-08-15,141
2018-08-16,63
2018-08-17,60
2018-08-18,88
2018-08-19,80
2018-08-20,82
2018-08-21,78
2018-08-22,128
2018-08-23,72
2018-08-24,60
2018-08-25,88
2018-08-26,85
2018-08-27,77
2018-08-28,68
2018-08-29,132
2018-08-30,88
2018-08-31,57
2018-09-01,92
2018-09-02,89
2018-09-03,98
2018-09-04,65
2018-09-05,117
2018-09-06,85
2018-09-07,67
2018-09-08,101
2018-09-09,104
2018-09-10,74
2018-09-11,77
2018-09-12,125
2018-09-13,80
2018-09-14,60
2018-09-15,95
2018-09-16,96
2018-09-17,80
2018-09-18,83
2018-09-19,119
2018-09-20,101
2018-09-21,61
2018-09-22,97
2018-09-23,75
2018-09-24,68
2018-09-25,71
2018-09-26,113
2018-09-27,81
2018-09-28,86
2018-09-29,103
2018-09-30,76
2018-10-01,98
2018-10-02,65
2018-10-03,111
2018-10-04,68
2018-10-05,76
2018-10-06,89
2018-10-07,75
2018-10-08,80
2018-10-09,64
2018-10-10,125
2018-10-11,82
2018-10-12,86
2018-10-13,113
2018-10-14,81
2018-10-15,62
2018-10-16,101
2018-10-17,125
2018-10-18,93
2018-10-19,59
2018-10-20,100
2018-10-21,71
2018-10-22,59
2018-10-23,71
2018-10-24,118
2018-10-25,55
2018-10-26,93
2018-10-27,123
2018-10-28,67
2018-10-29,132
2018-10-30,125
2018-10-31,172
2018-11-01,57
2018-11-02,37
2018-11-03,95
2018-11-04,76
2018-11-05,61
2018-11-06,53
2018-11-07,110
2018-11-08,52
2018-11-09,39
2018-11-10,80
2018-11-11,55
2018-11-12,54
2018-11-13,49
2018-11-14,95
2018-11-15,66
2018-11-16,33
2018-11-17,78
2018-11-18,48
2018-11-19,37
2018-11-20,44
2018-11-21,96
2018-11-22,51
2018-11-23,25
2018-11-24,62
2018-11-25,40
2018-11-26,49
2018-11-27,47
2018-11-28,65
2018-11-29,40
2018-11-30,20
2018-12-01,38
2018-12-02,38
2018-12-03,35
2018-12-04,18
2018-12-05,55
2018-12-06,20
2018-12-07,22
2018-12-08,52
2018-12-09,33
2018-12-10,28
2018-12-11,33
2018-12-12,54
2018-12-13,56
2018-12-14,25
2018-12-15,51
2018-12-16,34
2018-12-17,24
2018-12-18,26
2018-12-19,55
2018-12-20,40
2018-12-21,32
