DATE_FORMAT,DATE,INT ARRIVALS 04,INT ARRIVALS 22,INT ARRIVALS TTL,INT DEPARTURES 04,INT DEPARTURES 22,INT DEPARTURES TTL,LOCAL ARRIVALS 04,LOCAL ARRIVALS 22,LOCAL ARRIVALS TTL,LOCAL DEPARTURES 04,LOCAL DEPARTURES 22,LOCAL DEPARTURES TTL,TRANSITS FXD,TRANSITS HEL,TRANSITS TTL,HELI LND,HELI TO,HELI TTL,T/G,Grant Total,YEAR,MONTH
2018-01-01,1,1.0,7.0,8,0.0,8.0,8,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,16,2018,JAN
2018-01-02,2,1.0,10.0,11,0.0,10.0,10,0.0,2.0,2,0.0,2.0,2,0.0,0.0,0,0.0,0.0,0,0.0,25,2018,JAN
2018-01-03,3,11.0,9.0,20,6.0,15.0,21,1.0,0.0,1,0.0,1.0,1,0.0,0.0,0,5.0,5.0,10,0.0,53,2018,JAN
2018-01-04,4,1.0,11.0,12,0.0,11.0,11,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2.0,2.0,4,0.0,27,2018,JAN
2018-01-05,5,1.0,7.0,8,0.0,10.0,10,0.0,1.0,1,0.0,1.0,1,0.0,0.0,0,0.0,0.0,0,0.0,20,2018,JAN
2018-01-06,6,1.0,12.0,13,0.0,12.0,12,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0,0.0,26,2018,JAN
2018-01-07,7,1.0,12.0,13,0.0,15.0,15,0.0,3.0,3,0.0,3.0,3,0.0,0.0,0,7.0,7.0,14,0.0,48,2018,JAN
2018-01-08,8,2.0,9.0,11,0.0,9.0,9,0.0,3.0,3,0.0,3.0,3,0.0,0.0,0,8.0,8.0,16,0.0,42,2018,JAN
2018-01-09,9,0.0,9.0,9,0.0,11.0,11,0.0,10.0,10,0.0,10.0,10,1.0,0.0,1,10.0,10.0,20,15.0,76,2018,JAN
2018-01-10,10,15.0,2.0,17,5.0,10.0,15,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,7.0,7.0,14,1.0,48,2018,JAN
2018-01-11,11,10.0,2.0,12,3.0,8.0,11,3.0,0.0,3,3.0,0.0,3,2.0,0.0,2,14.0,14.0,28,1.0,60,2018,JAN
2018-01-12,12,1.0,5.0,6,0.0,8.0,8,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,2.0,2.0,4,1.0,20,2018,JAN
2018-01-13,13,5.0,7.0,12,4.0,7.0,11,0.0,2.0,2,1.0,1.0,2,3.0,0.0,3,0.0,0.0,0,2.0,32,2018,JAN
2018-01-14,14,3.0,6.0,9,1.0,10.0,11,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,7.0,7.0,14,1.0,36,2018,JAN
2018-01-15,15,0.0,7.0,7,0.0,6.0,6,0.0,1.0,1,0.0,1.0,1,2.0,0.0,2,9.0,9.0,18,12.0,47,2018,JAN
2018-01-16,16,1.0,4.0,5,0.0,5.0,5,0.0,2.0,2,0.0,2.0,2,1.0,0.0,1,9.0,9.0,18,3.0,36,2018,JAN
2018-01-17,17,1.0,15.0,16,0.0,15.0,15,0.0,0.0,0,0.0,1.0,1,2.0,0.0,2,7.0,7.0,14,5.0,53,2018,JAN
2018-01-18,18,0.0,5.0,5,0.0,5.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,10,2018,JAN
2018-01-19,19,0.0,5.0,5,0.0,8.0,8,0.0,2.0,2,0.0,2.0,2,0.0,0.0,0,3.0,3.0,6,0.0,23,2018,JAN
2018-01-20,20,3.0,11.0,14,0.0,9.0,9,0.0,1.0,1,0.0,1.0,1,3.0,0.0,3,0.0,0.0,0,5.0,33,2018,JAN
2018-01-21,21,2.0,6.0,8,0.0,13.0,13,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,21,2018,JAN
2018-01-22,22,0.0,11.0,11,0.0,7.0,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2.0,2.0,4,0.0,22,2018,JAN
2018-01-23,23,0.0,8.0,8,0.0,10.0,10,0.0,2.0,2,0.0,2.0,2,0.0,0.0,0,1.0,1.0,2,0.0,24,2018,JAN
2018-01-24,24,5.0,11.0,16,0.0,16.0,16,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,32,2018,JAN
2018-01-25,25,1.0,5.0,6,0.0,7.0,7,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1.0,1.0,2,0.0,15,2018,JAN
2018-01-26,26,7.0,0.0,7,5.0,1.0,6,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,1.0,1.0,2,0.0,16,2018,JAN
2018-01-27,27,1.0,9.0,10,0.0,10.0,10,1.0,0.0,1,0.0,1.0,1,4.0,0.0,4,0.0,0.0,0,0.0,26,2018,JAN
2018-01-28,28,2.0,9.0,11,0.0,9.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,20,2018,JAN
2018-01-29,29,1.0,3.0,4,0.0,5.0,5,0.0,0.0,0,0.0,0.0,0,2.0,1.0,3,7.0,7.0,14,0.0,26,2018,JAN
2018-01-30,30,2.0,4.0,6,0.0,7.0,7,0.0,0.0,0,0.0,0.0,0,2.0,0.0,2,8.0,8.0,16,0.0,31,2018,JAN
2018-01-31,31,1.0,15.0,16,0.0,16.0,16,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,9.0,9.0,18,3.0,54,2018,JAN
2018-02-01,1,3.0,2.0,5,0.0,6.0,6,0.0,0.0,0,0.0,0.0,0,1.0,0.0,1,14.0,14.0,28,8.0,48,2018,FEB
