pollutant_code,min_range,max_range,level,level_value
C6H6,0,5,Low (1),1
C6H6,5,10,Moderate (2),2
C6H6,10,15,High (3),3
C6H6,15,999999,Very High (4),4
CO,0,7000,Low (1),1
CO,7000,15000,Moderate (2),2
CO,15000,20000,High (3),3
CO,20000,999999,Very High (4),4
NO,0,100,Low (1),1
NO,100,150,Moderate (2),2
NO,150,200,High (3),3
NO,200,999999,Very High (4),4
NO2,0,100,Low (1),1
NO2,100,150,Moderate (2),2
NO2,150,200,High (3),3
NO2,200,999999,Very High (4),4
NOX,0,100,Low (1),1
NOX,100,150,Moderate (2),2
NOX,150,200,High (3),3
NOX,200,999999,Very High (4),4
O3,0,100,Low (1),1
O3,100,140,Moderate (2),2
O3,140,180,High (3),3
O3,180,999999,Very High (4),4
PM10,0,50,Low (1),1
PM10,50,100,Moderate (2),2
PM10,100,200,High (3),3
PM10,200,999999,Very High (4),4
PM25,0,25,Low (1),1
PM25,25,50,Moderate (2),2
PM25,50,100,High (3),3
PM25,100,999999,Very High (4),4
SO2,0,150,Low (1),1
SO2,150,250,Moderate (2),2
SO2,250,350,High (3),3
SO2,350,999999,Very High (4),4
