DAY,MONTH,YEAR,FLIGHT_CATEGORY,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,TOTAL_FLIGHTS
1,JAN,2012,INTERNATIONAL FLIGHTS,41,41,82
2,JAN,2012,INTERNATIONAL FLIGHTS,48,56,104
3,JAN,2012,INTERNATIONAL FLIGHTS,40,44,84
4,JAN,2012,INTERNATIONAL FLIGHTS,45,45,90
5,JAN,2012,INTERNATIONAL FLIGHTS,42,42,84
6,JAN,2012,INTERNATIONAL FLIGHTS,39,38,77
7,JAN,2012,INTERNATIONAL FLIGHTS,50,48,98
8,JAN,2012,INTERNATIONAL FLIGHTS,58,60,118
9,JAN,2012,INTERNATIONAL FLIGHTS,46,46,92
10,JAN,2012,INTERNATIONAL FLIGHTS,30,32,62
11,JAN,2012,INTERNATIONAL FLIGHTS,48,48,96
12,JAN,2012,INTERNATIONAL FLIGHTS,42,39,81
13,JAN,2012,INTERNATIONAL FLIGHTS,42,52,94
14,JAN,2012,INTERNATIONAL FLIGHTS,43,48,91
15,JAN,2012,INTERNATIONAL FLIGHTS,52,47,99
16,JAN,2012,INTERNATIONAL FLIGHTS,45,47,92
17,JAN,2012,INTERNATIONAL FLIGHTS,34,35,69
18,JAN,2012,INTERNATIONAL FLIGHTS,47,43,90
19,JAN,2012,INTERNATIONAL FLIGHTS,37,43,80
20,JAN,2012,INTERNATIONAL FLIGHTS,44,42,86
21,JAN,2012,INTERNATIONAL FLIGHTS,41,40,81
22,JAN,2012,INTERNATIONAL FLIGHTS,49,46,95
23,JAN,2012,INTERNATIONAL FLIGHTS,41,46,87
24,JAN,2012,INTERNATIONAL FLIGHTS,33,34,67
25,JAN,2012,INTERNATIONAL FLIGHTS,45,43,88
26,JAN,2012,INTERNATIONAL FLIGHTS,38,37,75
27,JAN,2012,INTERNATIONAL FLIGHTS,38,38,76
28,JAN,2012,INTERNATIONAL FLIGHTS,45,43,88
29,JAN,2012,INTERNATIONAL FLIGHTS,49,49,98
30,JAN,2012,INTERNATIONAL FLIGHTS,45,68,113
31,JAN,2012,INTERNATIONAL FLIGHTS,34,35,69
1,JAN,2012,LOCAL FLIGHTS,0,0,0
2,JAN,2012,LOCAL FLIGHTS,4,4,8
3,JAN,2012,LOCAL FLIGHTS,14,15,29
4,JAN,2012,LOCAL FLIGHTS,12,12,24
5,JAN,2012,LOCAL FLIGHTS,6,6,12
6,JAN,2012,LOCAL FLIGHTS,8,8,16
7,JAN,2012,LOCAL FLIGHTS,0,0,0
8,JAN,2012,LOCAL FLIGHTS,0,0,0
9,JAN,2012,LOCAL FLIGHTS,10,9,19
10,JAN,2012,LOCAL FLIGHTS,5,5,10
11,JAN,2012,LOCAL FLIGHTS,4,4,8
12,JAN,2012,LOCAL FLIGHTS,3,3,6
13,JAN,2012,LOCAL FLIGHTS,4,4,8
14,JAN,2012,LOCAL FLIGHTS,16,16,32
15,JAN,2012,LOCAL FLIGHTS,1,1,2
16,JAN,2012,LOCAL FLIGHTS,2,2,4
17,JAN,2012,LOCAL FLIGHTS,10,9,19
18,JAN,2012,LOCAL FLIGHTS,6,6,12
19,JAN,2012,LOCAL FLIGHTS,14,14,28
20,JAN,2012,LOCAL FLIGHTS,16,11,27
21,JAN,2012,LOCAL FLIGHTS,12,12,24
22,JAN,2012,LOCAL FLIGHTS,2,2,4
23,JAN,2012,LOCAL FLIGHTS,12,13,25
