DAY,MONTH,YEAR,FLIGHT_CATEGORY,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,TOTAL_FLIGHTS
1,JAN,2012,INTERNATIONAL FLIGHTS,9,10,19
2,JAN,2012,INTERNATIONAL FLIGHTS,6,7,13
3,JAN,2012,INTERNATIONAL FLIGHTS,4,3,7
4,JAN,2012,INTERNATIONAL FLIGHTS,24,21,45
5,JAN,2012,INTERNATIONAL FLIGHTS,5,4,9
6,JAN,2012,INTERNATIONAL FLIGHTS,10,7,17
7,JAN,2012,INTERNATIONAL FLIGHTS,5,7,12
8,JAN,2012,INTERNATIONAL FLIGHTS,10,10,20
9,JAN,2012,INTERNATIONAL FLIGHTS,5,5,10
10,JAN,2012,INTERNATIONAL FLIGHTS,3,3,6
11,JAN,2012,INTERNATIONAL FLIGHTS,12,13,25
12,JAN,2012,INTERNATIONAL FLIGHTS,4,4,8
13,JAN,2012,INTERNATIONAL FLIGHTS,4,5,9
14,JAN,2012,INTERNATIONAL FLIGHTS,6,4,10
15,JAN,2012,INTERNATIONAL FLIGHTS,10,10,20
16,JAN,2012,INTERNATIONAL FLIGHTS,7,7,14
17,JAN,2012,INTERNATIONAL FLIGHTS,2,2,4
18,JAN,2012,INTERNATIONAL FLIGHTS,13,13,26
19,JAN,2012,INTERNATIONAL FLIGHTS,9,7,16
20,JAN,2012,INTERNATIONAL FLIGHTS,5,6,11
21,JAN,2012,INTERNATIONAL FLIGHTS,6,6,12
22,JAN,2012,INTERNATIONAL FLIGHTS,11,10,21
23,JAN,2012,INTERNATIONAL FLIGHTS,8,7,15
24,JAN,2012,INTERNATIONAL FLIGHTS,0,3,3
25,JAN,2012,INTERNATIONAL FLIGHTS,14,14,28
26,JAN,2012,INTERNATIONAL FLIGHTS,5,4,9
27,JAN,2012,INTERNATIONAL FLIGHTS,3,1,4
28,JAN,2012,INTERNATIONAL FLIGHTS,6,6,12
29,JAN,2012,INTERNATIONAL FLIGHTS,10,12,22
30,JAN,2012,INTERNATIONAL FLIGHTS,5,4,9
31,JAN,2012,INTERNATIONAL FLIGHTS,6,5,11
1,JAN,2012,LOCAL FLIGHTS,0,0,0
2,JAN,2012,LOCAL FLIGHTS,1,1,2
3,JAN,2012,LOCAL FLIGHTS,3,3,6
4,JAN,2012,LOCAL FLIGHTS,3,3,6
5,JAN,2012,LOCAL FLIGHTS,3,3,6
6,JAN,2012,LOCAL FLIGHTS,0,0,0
7,JAN,2012,LOCAL FLIGHTS,0,0,0
8,JAN,2012,LOCAL FLIGHTS,0,0,0
9,JAN,2012,LOCAL FLIGHTS,5,5,10
10,JAN,2012,LOCAL FLIGHTS,4,4,8
11,JAN,2012,LOCAL FLIGHTS,1,1,2
12,JAN,2012,LOCAL FLIGHTS,3,3,6
13,JAN,2012,LOCAL FLIGHTS,6,6,12
14,JAN,2012,LOCAL FLIGHTS,8,8,16
15,JAN,2012,LOCAL FLIGHTS,7,7,14
16,JAN,2012,LOCAL FLIGHTS,5,6,11
17,JAN,2012,LOCAL FLIGHTS,4,4,8
18,JAN,2012,LOCAL FLIGHTS,7,7,14
19,JAN,2012,LOCAL FLIGHTS,8,8,16
20,JAN,2012,LOCAL FLIGHTS,3,3,6
21,JAN,2012,LOCAL FLIGHTS,3,3,6
22,JAN,2012,LOCAL FLIGHTS,3,3,6
23,JAN,2012,LOCAL FLIGHTS,5,4,9
24,JAN,2012,LOCAL FLIGHTS,4,4,8
25,JAN,2012,LOCAL FLIGHTS,1,1,2
26,JAN,2012,LOCAL FLIGHTS,0,0,0
27,JAN,2012,LOCAL FLIGHTS,1,1,2
28,JAN,2012,LOCAL FLIGHTS,0,0,0
29,JAN,2012,LOCAL FLIGHTS,0,0,0
30,JAN,2012,LOCAL FLIGHTS,1,1,2
31,JAN,2012,LOCAL FLIGHTS,2,2,4
1,JAN,2012,HELICOPTER FLIGHTS,0,0,0
2,JAN,2012,HELICOPTER FLIGHTS,0,0,0
3,JAN,2012,HELICOPTER FLIGHTS,3,3,6
4,JAN,2012,HELICOPTER FLIGHTS,3,3,6
5,JAN,2012,HELICOPTER FLIGHTS,1,1,2
6,JAN,2012,HELICOPTER FLIGHTS,0,0,0
7,JAN,2012,HELICOPTER FLIGHTS,0,0,0
8,JAN,2012,HELICOPTER FLIGHTS,0,0,0
9,JAN,2012,HELICOPTER FLIGHTS,5,5,10
10,JAN,2012,HELICOPTER FLIGHTS,3,3,6
11,JAN,2012,HELICOPTER FLIGHTS,3,3,6
12,JAN,2012,HELICOPTER FLIGHTS,1,1,2
13,JAN,2012,HELICOPTER FLIGHTS,0,0,0
14,JAN,2012,HELICOPTER FLIGHTS,0,0,0
15,JAN,2012,HELICOPTER FLIGHTS,3,3,6
16,JAN,2012,HELICOPTER FLIGHTS,3,3,6
17,JAN,2012,HELICOPTER FLIGHTS,7,7,14
18,JAN,2012,HELICOPTER FLIGHTS,4,4,8
19,JAN,2012,HELICOPTER FLIGHTS,8,8,16
20,JAN,2012,HELICOPTER FLIGHTS,0,0,0
