DAY,MONTH,YEAR,FLIGHT_CATEGORY,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,TOTAL_FLIGHTS
1,JAN,2015,INTERNATIONAL FLIGHTS,7,7,14
2,JAN,2015,INTERNATIONAL FLIGHTS,7,7,14
3,JAN,2015,INTERNATIONAL FLIGHTS,12,11,23
4,JAN,2015,INTERNATIONAL FLIGHTS,17,18,35
5,JAN,2015,INTERNATIONAL FLIGHTS,8,7,15
6,JAN,2015,INTERNATIONAL FLIGHTS,8,7,15
7,JAN,2015,INTERNATIONAL FLIGHTS,11,11,22
8,JAN,2015,INTERNATIONAL FLIGHTS,9,7,16
9,JAN,2015,INTERNATIONAL FLIGHTS,8,12,20
10,JAN,2015,INTERNATIONAL FLIGHTS,9,9,18
11,JAN,2015,INTERNATIONAL FLIGHTS,14,13,27
12,JAN,2015,INTERNATIONAL FLIGHTS,10,7,17
13,JAN,2015,INTERNATIONAL FLIGHTS,8,9,17
14,JAN,2015,INTERNATIONAL FLIGHTS,8,11,19
15,JAN,2015,INTERNATIONAL FLIGHTS,8,7,15
16,JAN,2015,INTERNATIONAL FLIGHTS,8,8,16
17,JAN,2015,INTERNATIONAL FLIGHTS,9,8,17
18,JAN,2015,INTERNATIONAL FLIGHTS,12,13,25
19,JAN,2015,INTERNATIONAL FLIGHTS,7,7,14
20,JAN,2015,INTERNATIONAL FLIGHTS,6,6,12
21,JAN,2015,INTERNATIONAL FLIGHTS,8,8,16
22,JAN,2015,INTERNATIONAL FLIGHTS,6,5,11
23,JAN,2015,INTERNATIONAL FLIGHTS,9,10,19
24,JAN,2015,INTERNATIONAL FLIGHTS,11,8,19
25,JAN,2015,INTERNATIONAL FLIGHTS,12,13,25
26,JAN,2015,INTERNATIONAL FLIGHTS,11,10,21
27,JAN,2015,INTERNATIONAL FLIGHTS,6,4,10
28,JAN,2015,INTERNATIONAL FLIGHTS,11,11,22
29,JAN,2015,INTERNATIONAL FLIGHTS,7,7,14
30,JAN,2015,INTERNATIONAL FLIGHTS,9,11,20
31,JAN,2015,INTERNATIONAL FLIGHTS,11,11,22
1,JAN,2015,LOCAL FLIGHTS,0,0,0
2,JAN,2015,LOCAL FLIGHTS,3,3,6
3,JAN,2015,LOCAL FLIGHTS,3,3,6
4,JAN,2015,LOCAL FLIGHTS,1,1,2
5,JAN,2015,LOCAL FLIGHTS,2,2,4
6,JAN,2015,LOCAL FLIGHTS,1,1,2
7,JAN,2015,LOCAL FLIGHTS,0,0,0
8,JAN,2015,LOCAL FLIGHTS,2,2,4
9,JAN,2015,LOCAL FLIGHTS,3,3,6
10,JAN,2015,LOCAL FLIGHTS,4,4,8
11,JAN,2015,LOCAL FLIGHTS,1,1,2
12,JAN,2015,LOCAL FLIGHTS,2,2,4
13,JAN,2015,LOCAL FLIGHTS,0,0,0
14,JAN,2015,LOCAL FLIGHTS,3,3,6
15,JAN,2015,LOCAL FLIGHTS,4,4,8
16,JAN,2015,LOCAL FLIGHTS,6,6,12
17,JAN,2015,LOCAL FLIGHTS,6,6,12
18,JAN,2015,LOCAL FLIGHTS,0,0,0
19,JAN,2015,LOCAL FLIGHTS,3,3,6
20,JAN,2015,LOCAL FLIGHTS,1,1,2
21,JAN,2015,LOCAL FLIGHTS,2,3,5
22,JAN,2015,LOCAL FLIGHTS,0,0,0
23,JAN,2015,LOCAL FLIGHTS,1,1,2
24,JAN,2015,LOCAL FLIGHTS,2,2,4
25,JAN,2015,LOCAL FLIGHTS,1,1,2
26,JAN,2015,LOCAL FLIGHTS,2,2,4
27,JAN,2015,LOCAL FLIGHTS,0,0,0
28,JAN,2015,LOCAL FLIGHTS,3,3,6
29,JAN,2015,LOCAL FLIGHTS,0,0,0
30,JAN,2015,LOCAL FLIGHTS,2,2,4
31,JAN,2015,LOCAL FLIGHTS,2,2,4
1,JAN,2015,HELICOPTER FLIGHTS,0,0,0
2,JAN,2015,HELICOPTER FLIGHTS,0,0,0
3,JAN,2015,HELICOPTER FLIGHTS,0,0,0
4,JAN,2015,HELICOPTER FLIGHTS,0,0,0
5,JAN,2015,HELICOPTER FLIGHTS,0,0,0
6,JAN,2015,HELICOPTER FLIGHTS,0,0,0
7,JAN,2015,HELICOPTER FLIGHTS,2,2,4
8,JAN,2015,HELICOPTER FLIGHTS,11,11,22
9,JAN,2015,HELICOPTER FLIGHTS,1,1,2
10,JAN,2015,HELICOPTER FLIGHTS,0,0,0
11,JAN,2015,HELICOPTER FLIGHTS,0,0,0
12,JAN,2015,HELICOPTER FLIGHTS,11,11,22
13,JAN,2015,HELICOPTER FLIGHTS,2,2,4
14,JAN,2015,HELICOPTER FLIGHTS,0,0,0
15,JAN,2015,HELICOPTER FLIGHTS,7,7,14
16,JAN,2015,HELICOPTER FLIGHTS,0,0,0
17,JAN,2015,HELICOPTER FLIGHTS,0,0,0
18,JAN,2015,HELICOPTER FLIGHTS,0,0,0
19,JAN,2015,HELICOPTER FLIGHTS,11,11,22
20,JAN,2015,HELICOPTER FLIGHTS,9,9,18
21,JAN,2015,HELICOPTER FLIGHTS,8,8,16
22,JAN,2015,HELICOPTER FLIGHTS,24,24,48
23,JAN,2015,HELICOPTER FLIGHTS,2,2,4
24,JAN,2015,HELICOPTER FLIGHTS,0,0,0
25,JAN,2015,HELICOPTER FLIGHTS,0,0,0
26,JAN,2015,HELICOPTER FLIGHTS,8,8,16
27,JAN,2015,HELICOPTER FLIGHTS,6,6,12
28,JAN,2015,HELICOPTER FLIGHTS,7,7,14
29,JAN,2015,HELICOPTER FLIGHTS,7,7,14
30,JAN,2015,HELICOPTER FLIGHTS,0,0,0
31,JAN,2015,HELICOPTER FLIGHTS,0,0,0
1,FEB,2015,INTERNATIONAL FLIGHTS,12,13,25
2,FEB,2015,INTERNATIONAL FLIGHTS,9,7,16
3,FEB,2015,INTERNATIONAL FLIGHTS,7,5,12
4,FEB,2015,INTERNATIONAL FLIGHTS,11,13,24
5,FEB,2015,INTERNATIONAL FLIGHTS,6,7,13
6,FEB,2015,INTERNATIONAL FLIGHTS,9,8,17
7,FEB,2015,INTERNATIONAL FLIGHTS,9,9,18
8,FEB,2015,INTERNATIONAL FLIGHTS,12,14,26
9,FEB,2015,INTERNATIONAL FLIGHTS,9,8,17
10,FEB,2015,INTERNATIONAL FLIGHTS,7,6,13
11,FEB,2015,INTERNATIONAL FLIGHTS,9,11,20
12,FEB,2015,INTERNATIONAL FLIGHTS,11,10,21
13,FEB,2015,INTERNATIONAL FLIGHTS,9,8,17
14,FEB,2015,INTERNATIONAL FLIGHTS,10,14,24
15,FEB,2015,INTERNATIONAL FLIGHTS,14,15,29
16,FEB,2015,INTERNATIONAL FLIGHTS,9,9,18
17,FEB,2015,INTERNATIONAL FLIGHTS,7,8,15
18,FEB,2015,INTERNATIONAL FLIGHTS,12,11,23
19,FEB,2015,INTERNATIONAL FLIGHTS,9,10,19
20,FEB,2015,INTERNATIONAL FLIGHTS,8,9,17
21,FEB,2015,INTERNATIONAL FLIGHTS,8,9,17
22,FEB,2015,INTERNATIONAL FLIGHTS,14,13,27
23,FEB,2015,INTERNATIONAL FLIGHTS,10,10,20
24,FEB,2015,INTERNATIONAL FLIGHTS,7,7,14
25,FEB,2015,INTERNATIONAL FLIGHTS,10,10,20
26,FEB,2015,INTERNATIONAL FLIGHTS,9,9,18
27,FEB,2015,INTERNATIONAL FLIGHTS,7,7,14
28,FEB,2015,INTERNATIONAL FLIGHTS,9,10,19
1,FEB,2015,LOCAL FLIGHTS,2,2,4
2,FEB,2015,LOCAL FLIGHTS,2,2,4
3,FEB,2015,LOCAL FLIGHTS,0,0,0
4,FEB,2015,LOCAL FLIGHTS,4,4,8
5,FEB,2015,LOCAL FLIGHTS,2,2,4
6,FEB,2015,LOCAL FLIGHTS,1,1,2
7,FEB,2015,LOCAL FLIGHTS,4,4,8
8,FEB,2015,LOCAL FLIGHTS,0,0,0
9,FEB,2015,LOCAL FLIGHTS,0,1,1
10,FEB,2015,LOCAL FLIGHTS,0,0,0
11,FEB,2015,LOCAL FLIGHTS,0,0,0
12,FEB,2015,LOCAL FLIGHTS,0,0,0
13,FEB,2015,LOCAL FLIGHTS,0,0,0
14,FEB,2015,LOCAL FLIGHTS,1,0,1
15,FEB,2015,LOCAL FLIGHTS,0,0,0
16,FEB,2015,LOCAL FLIGHTS,1,1,2
17,FEB,2015,LOCAL FLIGHTS,0,0,0
18,FEB,2015,LOCAL FLIGHTS,3,3,6
19,FEB,2015,LOCAL FLIGHTS,2,2,4
20,FEB,2015,LOCAL FLIGHTS,1,1,2
21,FEB,2015,LOCAL FLIGHTS,4,4,8
22,FEB,2015,LOCAL FLIGHTS,0,0,0
23,FEB,2015,LOCAL FLIGHTS,3,3,6
24,FEB,2015,LOCAL FLIGHTS,0,0,0
25,FEB,2015,LOCAL FLIGHTS,2,2,4
26,FEB,2015,LOCAL FLIGHTS,2,2,4
27,FEB,2015,LOCAL FLIGHTS,2,2,4
28,FEB,2015,LOCAL FLIGHTS,2,2,4
