date,airport,station_code,total_flights
2012-01-01,Pafos,15,19.0
2012-01-02,Pafos,15,15.0
2012-01-03,Pafos,15,19.0
2012-01-04,Pafos,15,57.0
2012-01-05,Pafos,15,17.0
2012-01-06,Pafos,15,17.0
2012-01-07,Pafos,15,12.0
2012-01-08,Pafos,15,20.0
2012-01-09,Pafos,15,30.0
2012-01-10,Pafos,15,20.0
2012-01-11,Pafos,15,33.0
2012-01-12,Pafos,15,16.0
2012-01-13,Pafos,15,21.0
2012-01-14,Pafos,15,26.0
2012-01-15,Pafos,15,40.0
2012-01-16,Pafos,15,31.0
2012-01-17,Pafos,15,26.0
2012-01-18,Pafos,15,48.0
2012-01-19,Pafos,15,48.0
2012-01-20,Pafos,15,17.0
2012-01-21,Pafos,15,18.0
2012-01-22,Pafos,15,27.0
2012-01-23,Pafos,15,40.0
2012-01-24,Pafos,15,21.0
2012-01-25,Pafos,15,30.0
2012-01-26,Pafos,15,9.0
2012-01-27,Pafos,15,8.0
2012-01-28,Pafos,15,12.0
2012-01-29,Pafos,15,22.0
2012-01-30,Pafos,15,31.0
2012-01-31,Pafos,15,33.0
2012-02-01,Pafos,15,65.0
2012-02-02,Pafos,15,50.0
2012-02-03,Pafos,15,32.0
2012-02-04,Pafos,15,19.0
2012-02-05,Pafos,15,31.0
2012-02-06,Pafos,15,52.0
2012-02-07,Pafos,15,19.0
2012-02-08,Pafos,15,60.0
2012-02-09,Pafos,15,41.0
2012-02-10,Pafos,15,29.0
2012-02-11,Pafos,15,29.0
2012-02-12,Pafos,15,25.0
2012-02-13,Pafos,15,47.0
2012-02-14,Pafos,15,23.0
2012-02-15,Pafos,15,43.0
2012-02-16,Pafos,15,15.0
2012-02-17,Pafos,15,11.0
2012-02-18,Pafos,15,12.0
2012-02-19,Pafos,15,31.0
2012-02-20,Pafos,15,46.0
2012-02-21,Pafos,15,38.0
2012-02-22,Pafos,15,67.0
2012-02-23,Pafos,15,25.0
2012-02-24,Pafos,15,28.0
2012-02-25,Pafos,15,26.0
2012-02-26,Pafos,15,30.0
2012-02-27,Pafos,15,16.0
2012-02-28,Pafos,15,5.0
2012-02-29,Pafos,15,25.0
2012-03-01,Pafos,15,36.0
2012-03-02,Pafos,15,23.0
2012-03-03,Pafos,15,25.0
2012-03-04,Pafos,15,31.0
2012-03-05,Pafos,15,53.0
2012-03-06,Pafos,15,24.0
2012-03-07,Pafos,15,54.0
2012-03-08,Pafos,15,31.0
2012-03-09,Pafos,15,48.0
2012-03-10,Pafos,15,30.0
2012-03-11,Pafos,15,30.0
2012-03-12,Pafos,15,37.0
2012-03-13,Pafos,15,25.0
2012-03-14,Pafos,15,38.0
2012-03-15,Pafos,15,45.0
2012-03-16,Pafos,15,23.0
2012-03-17,Pafos,15,27.0
2012-03-18,Pafos,15,30.0
2012-03-19,Pafos,15,31.0
2012-03-20,Pafos,15,33.0
2012-03-21,Pafos,15,61.0
2012-03-22,Pafos,15,36.0
2012-03-23,Pafos,15,32.0
2012-03-24,Pafos,15,21.0
2012-03-25,Pafos,15,38.0
2012-03-26,Pafos,15,62.0
2012-03-27,Pafos,15,36.0
2012-03-28,Pafos,15,71.0
2012-03-29,Pafos,15,32.0
2012-03-30,Pafos,15,36.0
2012-03-31,Pafos,15,42.0
2012-04-01,Pafos,15,58.0
2012-04-02,Pafos,15,49.0
2012-04-03,Pafos,15,44.0
2012-04-04,Pafos,15,98.0
2012-04-05,Pafos,15,56.0
2012-04-06,Pafos,15,46.0
2012-04-07,Pafos,15,45.0
2012-04-08,Pafos,15,61.0
2012-04-09,Pafos,15,46.0
2012-04-10,Pafos,15,29.0
2012-04-11,Pafos,15,85.0
2012-04-12,Pafos,15,36.0
2012-04-13,Pafos,15,34.0
2012-04-14,Pafos,15,42.0
2012-04-15,Pafos,15,60.0
2012-04-16,Pafos,15,33.0
2012-04-17,Pafos,15,41.0
2012-04-18,Pafos,15,76.0
2012-04-19,Pafos,15,42.0
2012-04-20,Pafos,15,43.0
2012-04-21,Pafos,15,49.0
2012-04-22,Pafos,15,63.0
2012-04-23,Pafos,15,57.0
2012-04-24,Pafos,15,56.0
2012-04-25,Pafos,15,99.0
2012-04-26,Pafos,15,48.0
2012-04-27,Pafos,15,56.0
2012-04-28,Pafos,15,65.0
