DATE_FORMAT,DATE,INT ARRIVALS 04,INT ARRIVALS 22,INT ARRIVALS TTL,INT DEPARTURES 04,INT DEPARTURES 22,INT DEPARTURES TTL,LOCAL ARRIVALS 04,LOCAL ARRIVALS 22,LOCAL ARRIVALS TTL,LOCAL DEPARTURES 04,LOCAL DEPARTURES 22,LOCAL DEPARTURES TTL,TRANSITS FXD,TRANSITS HEL,TRANSITS TTL,HELI LND,HELI TO,HELI TTL,T/G,Grant Total,International Flights,Local Flights (Fixed/Heli),YEAR,MONTH
2018-01-01,1,0.0,41.0,41.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0,2018,JAN
2018-01-02,2,0.0,49.0,49.0,0.0,49.0,49.0,0.0,13.0,13.0,0.0,13.0,13.0,1.0,1.0,2.0,1.0,1.0,2.0,35.0,163.0,98.0,28.0,2018,JAN
2018-01-03,3,0.0,63.0,63.0,0.0,61.0,61.0,0.0,6.0,6.0,0.0,6.0,6.0,0.0,2.0,2.0,3.0,3.0,6.0,11.0,155.0,124.0,18.0,2018,JAN
2018-01-04,4,0.0,57.0,57.0,1.0,54.0,55.0,0.0,9.0,9.0,0.0,9.0,9.0,1.0,0.0,1.0,3.0,3.0,6.0,5.0,142.0,112.0,24.0,2018,JAN
2018-01-05,5,47.0,10.0,57.0,46.0,12.0,58.0,8.0,0.0,8.0,8.0,0.0,8.0,0.0,1.0,1.0,2.0,2.0,4.0,12.0,148.0,115.0,20.0,2018,JAN
2018-01-06,6,50.0,6.0,56.0,52.0,4.0,56.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,124.0,112.0,8.0,2018,JAN
2018-01-07,7,39.0,29.0,68.0,45.0,18.0,63.0,6.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,153.0,131.0,14.0,2018,JAN
2018-01-08,8,0.0,55.0,55.0,0.0,56.0,56.0,0.0,14.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,3.0,3.0,6.0,21.0,166.0,111.0,34.0,2018,JAN
2018-01-09,9,0.0,50.0,50.0,0.0,52.0,52.0,0.0,16.0,16.0,0.0,17.0,17.0,1.0,2.0,3.0,4.0,4.0,8.0,20.0,166.0,102.0,41.0,2018,JAN
2018-01-10,10,0.0,55.0,55.0,0.0,51.0,51.0,0.0,15.0,15.0,0.0,15.0,15.0,0.0,3.0,3.0,2.0,2.0,4.0,22.0,165.0,106.0,34.0,2018,JAN
2018-01-11,11,6.0,48.0,54.0,10.0,44.0,54.0,0.0,9.0,9.0,0.0,9.0,9.0,0.0,2.0,2.0,3.0,3.0,6.0,9.0,143.0,108.0,24.0,2018,JAN
2018-01-12,12,0.0,55.0,55.0,1.0,57.0,58.0,0.0,10.0,10.0,0.0,10.0,10.0,1.0,0.0,1.0,5.0,5.0,10.0,10.0,154.0,113.0,30.0,2018,JAN
2018-01-13,13,1.0,46.0,47.0,0.0,45.0,45.0,0.0,17.0,17.0,0.0,17.0,17.0,2.0,0.0,2.0,0.0,0.0,0.0,18.0,146.0,92.0,34.0,2018,JAN
2018-01-14,14,2.0,57.0,59.0,3.0,56.0,59.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,124.0,118.0,4.0,2018,JAN
2018-01-15,15,27.0,28.0,55.0,35.0,19.0,54.0,10.0,6.0,16.0,12.0,4.0,16.0,0.0,2.0,2.0,4.0,3.0,7.0,37.0,187.0,109.0,39.0,2018,JAN
2018-01-16,16,0.0,44.0,44.0,0.0,47.0,47.0,0.0,15.0,15.0,0.0,15.0,15.0,2.0,3.0,5.0,7.0,7.0,14.0,29.0,169.0,91.0,44.0,2018,JAN
2018-01-17,17,0.0,47.0,47.0,1.0,46.0,47.0,0.0,9.0,9.0,0.0,9.0,9.0,1.0,2.0,3.0,5.0,5.0,10.0,9.0,134.0,94.0,28.0,2018,JAN
2018-01-18,18,1.0,48.0,49.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,100.0,97.0,1.0,2018,JAN
2018-01-19,19,17.0,40.0,57.0,15.0,42.0,57.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,127.0,114.0,12.0,2018,JAN
2018-01-20,20,0.0,46.0,46.0,1.0,44.0,45.0,0.0,21.0,21.0,0.0,21.0,21.0,4.0,0.0,4.0,1.0,1.0,2.0,32.0,171.0,91.0,44.0,2018,JAN
2018-01-21,21,26.0,31.0,57.0,24.0,36.0,60.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,127.0,117.0,4.0,2018,JAN
2018-01-22,22,2.0,52.0,54.0,1.0,52.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,110.0,107.0,0.0,2018,JAN
2018-01-23,23,21.0,21.0,42.0,21.0,22.0,43.0,4.0,8.0,12.0,4.0,8.0,12.0,3.0,3.0,6.0,2.0,2.0,4.0,8.0,127.0,85.0,28.0,2018,JAN
2018-01-24,24,10.0,33.0,43.0,13.0,35.0,48.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,2.0,2.0,3.0,3.0,6.0,6.0,115.0,91.0,16.0,2018,JAN
2018-01-25,25,24.0,25.0,49.0,23.0,26.0,49.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,8.0,3.0,112.0,98.0,10.0,2018,JAN
2018-01-26,26,3.0,56.0,59.0,2.0,51.0,53.0,0.0,11.0,11.0,0.0,11.0,11.0,0.0,5.0,5.0,3.0,3.0,6.0,9.0,154.0,112.0,28.0,2018,JAN
2018-01-27,27,14.0,25.0,39.0,19.0,25.0,44.0,1.0,17.0,18.0,1.0,17.0,18.0,1.0,0.0,1.0,2.0,2.0,4.0,5.0,129.0,83.0,40.0,2018,JAN
2018-01-28,28,6.0,50.0,56.0,3.0,51.0,54.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,110.0,4.0,2018,JAN
2018-01-29,29,20.0,38.0,58.0,23.0,35.0,58.0,9.0,6.0,15.0,9.0,6.0,15.0,0.0,2.0,2.0,2.0,2.0,4.0,19.0,171.0,116.0,34.0,2018,JAN
2018-01-30,30,1.0,44.0,45.0,1.0,43.0,44.0,0.0,17.0,17.0,0.0,17.0,17.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,135.0,89.0,38.0,2018,JAN
2018-01-31,31,0.0,53.0,53.0,1.0,46.0,47.0,0.0,15.0,15.0,0.0,15.0,15.0,1.0,0.0,1.0,3.0,3.0,6.0,18.0,155.0,100.0,36.0,2018,JAN
2018-02-01,1,48.0,1.0,49.0,45.0,4.0,49.0,12.0,0.0,12.0,11.0,0.0,11.0,0.0,0.0,0.0,2.0,2.0,4.0,21.0,146.0,98.0,27.0,2018,FEB
2018-02-02,2,43.0,16.0,59.0,52.0,8.0,60.0,0.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,2.0,2.0,4.0,20.0,163.0,119.0,24.0,2018,FEB
2018-02-03,3,0.0,46.0,46.0,0.0,47.0,47.0,0.0,13.0,13.0,0.0,13.0,13.0,0.0,0.0,0.0,3.0,3.0,6.0,22.0,147.0,93.0,32.0,2018,FEB
2018-02-04,4,0.0,60.0,60.0,1.0,57.0,58.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,124.0,118.0,6.0,2018,FEB
2018-02-05,5,0.0,56.0,56.0,0.0,55.0,55.0,0.0,7.0,7.0,0.0,7.0,7.0,0.0,3.0,3.0,3.0,3.0,6.0,17.0,151.0,111.0,20.0,2018,FEB
2018-02-06,6,40.0,9.0,49.0,40.0,10.0,50.0,13.0,2.0,15.0,13.0,2.0,15.0,0.0,0.0,0.0,2.0,2.0,4.0,21.0,154.0,99.0,34.0,2018,FEB
2018-02-07,7,47.0,0.0,47.0,49.0,0.0,49.0,17.0,0.0,17.0,12.0,0.0,12.0,0.0,3.0,3.0,3.0,3.0,6.0,19.0,153.0,96.0,35.0,2018,FEB
2018-02-08,8,52.0,0.0,52.0,52.0,0.0,52.0,10.0,0.0,10.0,10.0,0.0,10.0,0.0,4.0,4.0,4.0,4.0,8.0,23.0,159.0,104.0,28.0,2018,FEB
2018-02-09,9,4.0,54.0,58.0,9.0,52.0,61.0,0.0,13.0,13.0,0.0,14.0,14.0,1.0,1.0,2.0,3.0,3.0,6.0,19.0,173.0,119.0,33.0,2018,FEB
2018-02-10,10,40.0,8.0,48.0,39.0,10.0,49.0,9.0,3.0,12.0,9.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,151.0,97.0,24.0,2018,FEB
2018-02-11,11,4.0,56.0,60.0,7.0,54.0,61.0,1.0,6.0,7.0,1.0,6.0,7.0,3.0,0.0,3.0,0.0,0.0,0.0,11.0,149.0,121.0,14.0,2018,FEB
2018-02-12,12,0.0,63.0,63.0,0.0,59.0,59.0,0.0,14.0,14.0,0.0,14.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,18.0,170.0,122.0,28.0,2018,FEB
2018-02-13,13,0.0,46.0,46.0,0.0,48.0,48.0,0.0,13.0,13.0,0.0,13.0,13.0,0.0,2.0,2.0,1.0,2.0,3.0,19.0,144.0,94.0,29.0,2018,FEB
2018-02-14,14,0.0,53.0,53.0,0.0,53.0,53.0,0.0,11.0,11.0,0.0,11.0,11.0,0.0,2.0,2.0,2.0,2.0,4.0,16.0,150.0,106.0,26.0,2018,FEB
2018-02-15,15,49.0,5.0,54.0,46.0,10.0,56.0,17.0,1.0,18.0,16.0,1.0,17.0,1.0,4.0,5.0,2.0,2.0,4.0,19.0,173.0,110.0,39.0,2018,FEB
