DATE_FORMAT,DATE,INT ARRIVALS 04,INT ARRIVALS 22,INT ARRIVALS TTL,INT DEPARTURES 04,INT DEPARTURES 22,INT DEPARTURES TTL,TRANSIT,NA1,LOCAL G/A,LOCAL STATE,LOCAL T/G,NA2,INTERNATIONAL TTL,TRANSIT TTL,LOCAL TTL,Grant Total,YEAR,MONTH
2020-01-01,1,10.0,38.0,48.0,11.0,36.0,47.0,2.0,,0.0,0.0,0.0,,95.0,2.0,0.0,97.0,2020,JAN
2020-01-02,2,4.0,60.0,64.0,2.0,63.0,65.0,1.0,,4.0,1.0,1.0,,129.0,1.0,5.0,135.0,2020,JAN
2020-01-03,3,0.0,55.0,55.0,1.0,53.0,54.0,2.0,,2.0,1.0,7.0,,109.0,2.0,3.0,114.0,2020,JAN
2020-01-04,4,0.0,67.0,67.0,0.0,66.0,66.0,2.0,,13.0,0.0,18.0,,133.0,2.0,13.0,148.0,2020,JAN
2020-01-05,5,0.0,63.0,63.0,22.0,63.0,85.0,0.0,,4.0,1.0,0.0,,148.0,0.0,5.0,153.0,2020,JAN
2020-01-06,6,0.0,65.0,65.0,0.0,64.0,64.0,2.0,,0.0,0.0,0.0,,129.0,2.0,0.0,131.0,2020,JAN
2020-01-07,7,0.0,60.0,60.0,0.0,56.0,56.0,0.0,,2.0,0.0,0.0,,116.0,0.0,2.0,118.0,2020,JAN
2020-01-08,8,43.0,15.0,58.0,37.0,15.0,52.0,2.0,,6.0,3.0,1.0,,110.0,2.0,9.0,121.0,2020,JAN
2020-01-09,9,18.0,46.0,64.0,20.0,48.0,68.0,3.0,,6.0,0.0,0.0,,132.0,3.0,6.0,141.0,2020,JAN
2020-01-10,10,67.0,0.0,67.0,61.0,0.0,61.0,1.0,,8.0,4.0,8.0,,128.0,1.0,12.0,141.0,2020,JAN
2020-01-11,11,28.0,35.0,63.0,26.0,38.0,64.0,0.0,,14.0,1.0,8.0,,127.0,0.0,15.0,142.0,2020,JAN
2020-01-12,12,0.0,75.0,75.0,0.0,69.0,69.0,0.0,,3.0,1.0,9.0,,144.0,0.0,4.0,148.0,2020,JAN
2020-01-13,13,0.0,66.0,66.0,0.0,66.0,66.0,4.0,,6.0,2.0,9.0,,132.0,4.0,8.0,144.0,2020,JAN
2020-01-14,14,13.0,38.0,51.0,10.0,42.0,52.0,0.0,,6.0,5.0,9.0,,103.0,0.0,11.0,114.0,2020,JAN
2020-01-15,15,20.0,34.0,54.0,19.0,34.0,53.0,4.0,,8.0,0.0,14.0,,107.0,4.0,8.0,119.0,2020,JAN
2020-01-16,16,50.0,0.0,50.0,52.0,0.0,52.0,0.0,,4.0,6.0,14.0,,102.0,0.0,10.0,112.0,2020,JAN
2020-01-17,17,57.0,0.0,57.0,55.0,0.0,55.0,1.0,,0.0,2.0,0.0,,112.0,1.0,2.0,115.0,2020,JAN
2020-01-18,18,40.0,10.0,50.0,40.0,10.0,50.0,5.0,,17.0,1.0,15.0,,100.0,5.0,18.0,123.0,2020,JAN
2020-01-19,19,64.0,3.0,67.0,58.0,7.0,65.0,0.0,,0.0,2.0,0.0,,132.0,0.0,2.0,134.0,2020,JAN
2020-01-20,20,60.0,2.0,62.0,60.0,2.0,62.0,4.0,,10.0,4.0,14.0,,124.0,4.0,14.0,142.0,2020,JAN
2020-01-21,21,48.0,3.0,51.0,47.0,1.0,48.0,1.0,,6.0,6.0,13.0,,99.0,1.0,12.0,112.0,2020,JAN
